"species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation"
"Abies fraseri",35.563288,-83.498,4.53942307692308,19.5733788395904,49.7576791808874,30.6689419795222,1.29551282051282,0,"Loam",2015.39343261719
"Abies fraseri",35.737875,-82.318167,4.70181818181818,17.7545454545455,61.5563636363636,20.6890909090909,1.37709090909091,0,"Sandy Loam",1928.6162109375
"Abies fraseri",35.30652,-82.941039,4.996,11.35,66.69,21.96,1.2938,0,"Sandy Loam",1648.80859375
"Abies fraseri",35.562529,-83.498628,4.53942307692308,19.5733788395904,49.7576791808874,30.6689419795222,1.29551282051282,0,"Loam",2024.72631835938
"Abies fraseri",36.096465,-82.13964,4.875,16.4204545454545,56.3590909090909,27.2204545454545,1.28295454545455,0,"Sandy Loam",1863.72058105469
"Abies fraseri",35.636047,-83.442405,4.47179487179487,14.3694915254237,50.2813559322034,35.3491525423729,1.31269230769231,0,"Loam",1444.65393066406
"Abies fraseri",35.85,-83.55,7,27.05,19.342,53.608,1.43,0,"Silty Clay Loam",308.218109130859
"Abies fraseri",35.759779,-82.271256,4.70181818181818,17.7545454545455,61.5563636363636,20.6890909090909,1.37709090909091,0,"Sandy Loam",1903.93603515625
"Abies fraseri",35.764831,-82.265029,4.70181818181818,17.7545454545455,61.5563636363636,20.6890909090909,1.37709090909091,0,"Sandy Loam",2036.19653320312
"Abies fraseri",35.558055,-83.496055,4.51218181818182,18.468330134357,51.4952015355086,30.0364683301344,1.32732727272727,0,"Loam",1934.900390625
"Abies fraseri",35.562749,-83.498482,4.53942307692308,19.5733788395904,49.7576791808874,30.6689419795222,1.29551282051282,0,"Loam",2024.84033203125
"Abies fraseri",35.360163,-82.987083,4.8,13.4253731343284,66.1813432835821,20.3932835820896,1.31753731343284,0,"Sandy Loam",1838.99548339844
"Abies fraseri",36.094864,-81.832485,4.69285714285714,4.75675675675676,21.4513513513514,11.6297297297297,0.615540540540541,0,"Other",1595.61791992188
"Abies fraseri",35.753508,-82.273513,4.70181818181818,17.7545454545455,61.5563636363636,20.6890909090909,1.37709090909091,0,"Sandy Loam",1897.94311523438
"Abies fraseri",34.8745,-83.81089,5.2093567251462,13.4415204678363,64.9052631578947,21.653216374269,1.41976608187135,0,"Sandy Loam",1455.49938964844
"Abies fraseri",35.457756,-83.129753,4.53154121863799,20.4624060150376,52.4661654135338,27.0714285714286,1.3310752688172,0,"Sandy Loam",1702.08642578125
"Abies fraseri",35.46235,-83.139953,4.53154121863799,20.4624060150376,52.4661654135338,27.0714285714286,1.3310752688172,0,"Sandy Loam",1834.97033691406
"Abies fraseri",35.557292,-83.496107,4.4801282051282,16.0716723549488,50.1126279863481,33.8156996587031,1.29996794871795,0,"Loam",1928.55908203125
"Abies fraseri",35.557089,-83.496256,4.4801282051282,16.0716723549488,50.1126279863481,33.8156996587031,1.29996794871795,0,"Loam",1922.98754882812
"Abies fraseri",35.539592,-83.494217,4.51218181818182,18.468330134357,51.4952015355086,30.0364683301344,1.32732727272727,0,"Loam",1755.38793945312
"Abies fraseri",35.753487,-82.273558,4.70181818181818,17.7545454545455,61.5563636363636,20.6890909090909,1.37709090909091,0,"Sandy Loam",1897.35852050781
"Abies fraseri",36.105331,-82.112892,4.7,12.6575,66.3235,21.019,1.2363,0,"Sandy Loam",1720.75012207031
